StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q62,Q10,Q9,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q24,Q24_3_TEXT,Q26,Q26_3_TEXT,Q28,Q28_3_TEXT,Q30,Q30_3_TEXT,Q28,Q28_3_TEXT,Q29,Q29_3_TEXT,Q30,Q30_3_TEXT,Q31,Q31_3_TEXT,Q32,Q32_3_TEXT,Q33,Q33_3_TEXT,Q34,Q34_3_TEXT,Q35,Q35_3_TEXT,Q36,Q36_3_TEXT,Q37,Q37_3_TEXT,Q38,Q38_3_TEXT,Q39,Q39_3_TEXT,Q40,Q40_3_TEXT,Q41,Q41_3_TEXT,Q42,Q42_3_TEXT,Q43,Q43_3_TEXT,Q44,Q44_3_TEXT,Q45,Q45_3_TEXT,Q46,Q46_3_TEXT,Q47,Q47_3_TEXT,Q48,Q48_3_TEXT,Q49,Q49_3_TEXT,Q50,Q50_3_TEXT,Q51,Q51_3_TEXT,Q52,Q52_3_TEXT,Q53,Q53_3_TEXT,Q54,Q54_3_TEXT,Q55,Q55_3_TEXT,Q56,Q56_3_TEXT,Q57,Q57_3_TEXT,Q58,Q58_3_TEXT,Q59,Q59_3_TEXT,Q60,Q60_3_TEXT
2020-08-18 13:02:42,2020-08-18 13:03:58,IP Address,54.213.100.75,100,75,True,2020-08-18 13:03:58,R_2DYTuuCXj6alB0v,,,,,45.8491058349609375,-119.71429443359375,anonymous,EN,3219460,Master's Student,Freshman,1,,,,,,1,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,
2020-08-18 13:02:47,2020-08-18 13:05:20,IP Address,71.132.253.167,100,153,True,2020-08-18 13:05:20,R_0DkSmuJu0e4Qo4V,,,,,29.522003173828125,-98.5305023193359375,anonymous,EN,ibm7907,Undergrad Major,Freshman,3,1,1,1,1,1,2,6,Already Taken,,Already Taken,,Already Taken,,Want to Enroll,10,Want to Enroll,7,Don't Want to Enroll,,Want to Enroll,8,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,
2020-08-18 13:02:38,2020-08-18 13:05:44,IP Address,65.96.31.84,100,185,True,2020-08-18 13:05:44,R_3qeejK8IXAsYF4s,,,,,41.661407470703125,-70.236297607421875,anonymous,EN,Clc7052,Undergrad Major,Junior,2,1,1,0,0,1,2,5,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Already Taken,,Already Taken,,Want to Enroll,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,
2020-08-18 13:03:43,2020-08-18 13:07:08,IP Address,198.54.129.54,100,204,True,2020-08-18 13:07:08,R_26kTDC1vy5gEFeI,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,nlw5828,Undergrad Major,Junior,3,0,1,0,1,0,2,3,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Already Taken,,Already Taken,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,12,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,8,Want to Enroll,6,Want to Enroll,12,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,2,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,
2020-08-18 13:04:49,2020-08-18 13:07:32,IP Address,98.184.151.195,100,163,True,2020-08-18 13:07:32,R_vqVMDz3yNn0EowN,,,,,36.0431976318359375,-95.80719757080078125,anonymous,EN,bzj4570,Undergrad Major,Senior,3,,,,,,,3,Already Taken,,Already Taken,,Don't Want to Enroll,,Already Taken,,Already Taken,,Already Taken,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Already Taken,,Already Taken,,Already Taken,,Already Taken,,Want to Enroll,45,Want to Enroll,30,Don't Want to Enroll,,Want to Enroll,70,Don't Want to Enroll,,Want to Enroll,90,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,90,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,
2020-08-18 13:06:43,2020-08-18 13:08:54,IP Address,107.77.207.6,100,131,True,2020-08-18 13:08:54,R_p9lw3lqc6uST9IZ,,,,,41.8950958251953125,-87.8159027099609375,anonymous,EN,Zgv8731,Undergrad Major,Senior,3,1,0,0,0,1,2,2,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Already Taken,,Already Taken,,Already Taken,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,,Already Taken,,Don't Want to Enroll,,Already Taken,,Already Taken,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,,Don't Want to Enroll,,Want to Enroll,,Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,
2020-08-18 13:07:07,2020-08-18 13:08:59,IP Address,73.197.204.81,100,111,True,2020-08-18 13:08:59,R_31LOfnBFSu2tj3V,,,,,40.3014068603515625,-74.07050323486328125,anonymous,EN,cfb7999,Undergrad Major,Senior,3,1,0,0,0,1,0,1,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Already Taken,,Already Taken,,Already Taken,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Already Taken,,Want to Enroll,
2020-08-18 13:09:51,2020-08-18 13:11:39,IP Address,142.196.131.148,100,107,True,2020-08-18 13:11:40,R_2Slzh9Z73mklEXg,,,,,28.558807373046875,-81.3495025634765625,anonymous,EN,imm5490,Other,Junior,2,,,,,,,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Want to Enroll,100,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,80,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,
2020-08-18 13:02:57,2020-08-18 13:11:46,IP Address,107.77.205.37,100,528,True,2020-08-18 13:11:46,R_3KHh5pGucM5ZfxS,,,,,47.6031951904296875,-122.3412017822265625,anonymous,EN,arn9233,Undergrad Major,Master's Student,5,0,0,0,0,0,0,11,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Already Taken,,Already Taken,,Already Taken,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Already Taken,,Want to Enroll,5,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Already Taken,,Already Taken,,Want to Enroll,1,Already Taken,,Want to Enroll,1,Want to Enroll,1,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,3,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,4,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,
2020-08-18 13:06:49,2020-08-18 13:14:05,IP Address,24.27.57.50,100,435,True,2020-08-18 13:14:05,R_TnCZNBebwDTG8HD,,,,,30.5088958740234375,-97.67960357666015625,anonymous,EN,kat6711,Undergrad Major,Junior,3,1,1,0,0,1,2,4,Already Taken,,Already Taken,,Already Taken,,Already Taken,,Already Taken,,Already Taken,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Already Taken,,Want to Enroll,,Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Want to Enroll,,Want to Enroll,,Want to Enroll,,Don't Want to Enroll,,Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,
2020-08-18 13:16:44,2020-08-18 13:17:25,IP Address,163.114.132.3,100,41,True,2020-08-18 13:17:25,R_2dTpCxgxqwNyQYl,,,,,37.4445953369140625,-122.183502197265625,anonymous,EN,igv9206,Undergrad Major,Senior,3,,,,,,,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,
2020-08-18 13:06:42,2020-08-18 13:19:12,IP Address,24.30.29.117,100,749,True,2020-08-18 13:19:12,R_2ePdTS90kGzkDgB,,,,,33.934906005859375,-84.3921966552734375,anonymous,EN,asb5566,Undergrad Major,Junior,2,1,1,0,0,1,2,5,Don't Want to Enroll,,Already Taken,,Don't Want to Enroll,,Already Taken,,Already Taken,,Already Taken,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,,Don't Want to Enroll,,Want to Enroll,2,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,1,Don't Want to Enroll,,Want to Enroll,2,Don't Want to Enroll,,Already Taken,,Already Taken,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Want to Enroll,1,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,,Don't Want to Enroll,
